======================================================================
PROXY CHECK RESULTS
Total: 1000 | Live: 505 | Die: 495
======================================================================

----------------------------------------
[LIVE] 505 proxies
----------------------------------------
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3837ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 4023ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 4206ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 4891ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:4405 | HTTP | 4346ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:4092 | HTTP | 4781ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 4812ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 4125ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 4217ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:4529 | HTTP | 4310ms | IP: 27.79.234.246
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 774ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 692ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 1137ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 723ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 762ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 708ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 1204ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 820ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 776ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 837ms | IP: 27.79.130.140
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1202ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1089ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 832ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1032ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 873ms | IP: 27.79.147.110
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3862ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4101 | HTTP | 4309ms | IP: 171.224.18.121
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 4201ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 4077ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 4778ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:4405 | HTTP | 4233ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:4092 | HTTP | 4392ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 4418ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 3816ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 4340ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:4529 | HTTP | 3945ms | IP: 27.79.234.246
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 782ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 706ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 723ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 1196ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 759ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 684ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 780ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 823ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 831ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 831ms | IP: 27.79.130.140
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1044ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1007ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1008ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 836ms | IP: 27.79.147.110
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3923ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4101 | HTTP | 4140ms | IP: 171.224.18.121
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 3831ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 4062ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 4156ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:4405 | HTTP | 3832ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:4092 | HTTP | 4125ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 3832ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 5033ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 3802ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:4529 | HTTP | 3774ms | IP: 27.79.234.246
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 760ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 713ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 775ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 772ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 755ms | IP: 171.229.217.155
